	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6
cg00022866	0.673800455	0.576975166	0.608282666	0.58187674	0.622312621	0.670266198
cg00033209	NA	NA	NA	NA	NA	NA
cg00057722	0.607365965	0.612374492	0.668613835	0.563899024	0.592137243	0.588697626
cg00063456	0.948489232	0.940290665	0.93139953	0.912810379	0.939700565	0.93405081
cg00078759	0.945096928	0.96181233	0.971760703	0.950572261	0.968962793	0.936621653
cg00095677	NA	NA	NA	NA	NA	NA
cg00109703	0.170854364	0.139703033	0.153704586	0.196070257	0.190086192	0.155240884
cg00117018	0.680923248	0.812801483	0.815216665	NA	0.777156926	NA
cg00145587	0.023196941	0.02034057	0.020019191	0.02615988	0.022471089	0.023262552
cg00156497	NA	NA	NA	NA	NA	NA
cg00173776	NA	NA	NA	NA	NA	NA
cg00188627	0.289438809	0.272079653	0.251557474	0.366618874	0.263735057	0.255621625
cg00194771	0.937182602	0.934782933	0.953964847	0.924448562	0.955315509	0.926190979
cg00219626	0.839653478	0.787782447	0.862534824	0.762776521	0.764929992	0.744968297
cg00241432	0.898045342	0.907097218	0.901755503	0.869194606	0.896823957	0.912743028
cg00247094	NA	NA	NA	NA	NA	NA
cg00248776	0.93040088	0.935655182	0.932902727	0.913845791	0.921311254	0.930692857
cg00256046	0.82910392	0.823015033	0.888022912	0.807855243	0.845427288	0.875581492
cg00287841	NA	NA	NA	NA	NA	NA
cg00288945	NA	NA	NA	NA	NA	NA
cg00295418	NA	NA	NA	NA	NA	NA
cg00315563	0.664843529	0.624911323	0.483969109	0.811910522	0.714756031	0.645235102
cg00317626	0.388674113	0.368201963	0.313642078	0.519116989	0.358825019	0.382528429
cg00338116	0.187765949	0.142842886	0.1591081	0.108920376	0.151727212	0.16862561
cg00342953	0.153659113	0.128472494	0.155058823	0.189644923	0.123532917	0.117223675
cg00346898	0.260632417	0.256495171	0.271204953	0.20226737	0.260882397	0.230710469
cg00348031	NA	NA	NA	NA	NA	NA
cg00374492	0.143749827	0.120195673	0.141224801	0.156493014	0.178751252	0.134005139
cg00380780	0.936520488	0.937703992	0.950698315	0.926954482	0.951724168	0.914439813
cg00390259	0.765647532	0.720715311	0.796356398	0.642805354	0.718539398	0.68985849
cg00393470	0.911766581	0.917268828	0.913249418	0.900835113	0.898351052	0.902785287
cg00425177	0.922676755	0.947913348	0.958478013	0.935736913	0.919973463	0.938191367
cg00435098	0.978752231	0.977326777	0.976433997	0.961328535	0.978457889	0.970074113
cg00456888	0.902714525	0.917477758	0.908998685	0.891614664	0.912476776	0.911132359
cg00462971	0.882431802	0.87979876	0.807547073	0.868071551	0.879094479	0.782787086
cg00467278	NA	NA	NA	NA	NA	NA
cg00489213	NA	NA	NA	NA	NA	NA
cg00491523	0.775728891	0.805249657	0.818923519	0.679486595	0.743331394	0.888614143
cg00500936	0.285381147	0.296613739	0.26464305	0.207564091	0.258339111	0.275049563
cg00514713	0.882163273	0.907715736	0.893399218	0.887443875	0.870623405	0.819336803
cg00523628	NA	NA	NA	NA	NA	NA
cg00540295	NA	NA	NA	NA	NA	NA
cg00548708	0.052710342	0.037065704	0.045596273	0.042879077	0.050075718	0.097816881
cg00562871	NA	NA	NA	NA	NA	NA
cg00600029	0.944899391	0.953924047	0.960749608	0.934405958	0.953475372	0.939629085
cg00616572	NA	NA	NA	NA	NA	NA
cg00617568	0.923137812	0.924445633	0.943156421	0.873119799	0.941680926	0.914318256
cg00631877	NA	NA	NA	NA	NA	NA
cg00655913	0.072803507	0.052075469	0.056831893	0.06522431	0.066845711	0.064991381
cg00695177	NA	NA	NA	NA	NA	NA
cg00696044	NA	NA	NA	NA	NA	NA
cg00702561	NA	NA	NA	NA	NA	NA
cg00704554	0.471339225	0.464630188	0.426338707	0.509605727	0.421472204	0.409379012
cg00713939	0.027555336	0.126273568	0.209802504	0.035357417	0.035890202	0.038724724
cg00732378	0.483865335	0.471184959	0.399739987	0.551660175	0.514124463	0.491716607
cg00742603	0.027704849	0.028523153	0.029600446	0.026817269	0.03527397	0.028002707
cg00797779	NA	NA	NA	NA	NA	NA
cg00805619	0.254116416	0.215226325	0.222132255	0.221708766	0.307662947	0.298916404
cg00817464	0.787490012	0.872455033	0.858624122	0.686933162	0.926962131	0.868406182
cg00838397	0.953362746	0.946161551	0.944551146	0.92189598	0.950865147	0.940789728
cg00859330	0.817491266	0.887299944	0.865405751	0.818761851	0.782551121	0.877496044
cg00892737	NA	NA	NA	NA	NA	NA
cg00894008	0.925323678	0.92931617	0.934140058	0.882450322	0.929150774	0.888849487
cg00935895	NA	NA	NA	NA	NA	NA
cg00954105	NA	NA	NA	NA	NA	NA
cg00955451	0.842066395	0.870027408	0.870160197	0.902230279	0.818540929	0.84501082
cg00960700	0.039743795	0.153891661	0.217541383	0.024865737	0.019952904	0.027103513
cg00965023	0.164234458	0.144155521	0.1747467	0.197112131	0.151773076	0.177171906
cg00979803	NA	NA	NA	NA	NA	NA
cg00980980	NA	NA	NA	NA	NA	NA
cg00986130	0.720404029	0.482580971	0.602686904	0.591114448	0.632661549	0.54183137
cg00992055	0.94002179	0.954585009	0.949378113	0.939660776	0.953859923	0.940742319
cg01046703	0.925495339	0.940148212	0.947730652	0.943164362	0.950165096	0.948621522
cg01052274	NA	NA	NA	NA	NA	NA
cg01057945	0.790695139	0.790790145	0.806632483	0.737873466	0.763908981	0.83093988
cg01063413	NA	NA	NA	NA	NA	NA
cg01087869	0.89941189	0.912482559	0.904761316	0.870045354	0.913361084	0.9115475
cg01143764	0.935347756	0.93611937	0.95561116	0.915475446	0.936950575	0.9236281
cg01147727	0.890251392	0.921473812	0.911218107	0.854651274	0.886882995	0.931214144
cg01171429	0.909403342	0.928230743	0.910765786	0.928503995	0.935900165	0.91850469
cg01188578	NA	NA	NA	NA	NA	NA
cg01192112	NA	NA	NA	NA	NA	NA
cg01199931	NA	NA	NA	NA	NA	NA
cg01210288	0.929554075	0.920727243	0.929231054	0.942699461	0.919258045	0.93696386
cg01221582	NA	NA	NA	NA	NA	NA
cg01240823	0.501627751	0.460266538	0.357223868	0.646887709	0.444780979	0.510852118
cg01264919	NA	NA	NA	NA	NA	NA
cg01266850	0.168984057	0.225093809	0.167819677	0.258855866	0.180812595	0.183612946
